"ROOM","NAME","IP","MAC"
"201A","201A-MAY004","192.168.11.10","4C:CF:7C:49:26:BC"
"201A","201A-MAY005","192.168.11.11","4C:CF:7C:49:26:50"
"201A","201A-MAY006","192.168.11.12","4C:CF:7C:3C:01:88"
"201A","201A-MAY007","192.168.11.13","4C:CF:7C:49:26:54"
"201A","201A-MAY008","192.168.11.14","4C:CF:7C:49:27:62"
"201A","201A-MAY009","192.168.11.15","4C:CF:7C:49:25:CD"
"201A","201A-MAY010","192.168.11.16","4C:CF:7C:49:25:BB"
"201A","201A-MAY011","192.168.11.17","4C:CF:7C:3C:01:89"
"201A","201A-MAY012","192.168.11.18","4C:CF:7C:49:DA:5E"
"201A","201A-MAY013","192.168.11.19","4C:CF:7C:3C:02:1F"
"201A","201A-MAY014","192.168.11.20","4C:CF:7C:49:27:30"
"201A","201A-MAY015","192.168.11.21","4C:CF:7C:3C:01:77"
"201A","201A-MAY016","192.168.11.22","4C:CF:7C:3C:EC:40"
"201A","201A-MAY017","192.168.11.23","4C:CF:7C:3C:00:7E"
"201A","201A-MAY018","192.168.11.24","4C:CF:7C:49:28:60"
"201A","201A-MAY019","192.168.11.25","4C:CF:7C:3C:01:C0"
"201A","201A-MAY020","192.168.11.26","4C:CF:7C:49:28:14"
"201A","201A-MAY021","192.168.11.27","4C:CF:7C:3C:02:B8"
"201A","201A-MAY022","192.168.11.28","4C:CF:7C:49:28:16"
"201A","201A-MAY023","192.168.11.29","4C:CF:7C:49:03:9A"
"201A","201A-MAY024","192.168.11.30","4C:CF:7C:49:27:24"
"201A","201A-MAY025","192.168.11.31","4C:CF:7C:49:26:47"
"201A","201A-MAY026","192.168.11.32","4C:CF:7C:3C:00:0F"
"201A","201A-MAY027","192.168.11.33","4C:CF:7C:49:28:51"
"201A","201A-MAY028","192.168.11.34","4C:CF:7C:49:28:41"
"201A","201A-MAY029","192.168.11.35","4C:CF:7C:49:24:FA"
"201A","201A-MAY030","192.168.11.36","4C:CF:7C:3C:EB:E7"
"201A","201A-MAY031","192.168.11.37","4C:CF:7C:49:25:45"
"201A","201A-MAY032","192.168.11.38","4C:CF:7C:49:26:B3"
"201A","201A-MAY033","192.168.11.39","4C:CF:7C:49:27:EE"
"201A","201A-MAY034","192.168.11.40","4C:CF:7C:49:26:B1"
"201A","201A-MAY035","192.168.11.41","4C:CF:7C:3C:01:86"
"201A","201A-MAY036","192.168.11.42","4C:CF:7C:3C:00:37"
"201A","201A-MAY037","192.168.11.43","4C:CF:7C:49:27:6B"
"201A","201A-MAY038","192.168.11.44","4C:CF:7C:49:28:01"
"201A","201A-MAY001","192.168.11.6","4C:CF:7C:49:25:37"
"201A","201A-MAY002","192.168.11.7","4C:CF:7C:49:25:7F"
"201A","201A-MAY003","192.168.11.8","4C:CF:7C:49:25:DD"
